groupId,deletedWithGroup,id,tempId,draftId,revisionId,isProvisionalDraft,uid,siteSettingsId,fieldLayoutId,structureId,contentId,enabled,archived,siteId,title,slug,uri,dateCreated,dateUpdated,dateLastMerged,dateDeleted,root,lft,rgt,level,trashed,isNewForSite,parentId,canonicalId,isDraft,isRevision,isUnpublishedDraft,ref,status,url,categoryDescription
4,,3146,,,,,f7bee145-2cd1-470c-9d3b-b87dbc107fbc,7722,92,7,4229,1,,3,"Retail & Ecommerce",retail-ecommerce,,2018-08-30T15:09:00-04:00,2019-01-22T10:46:50-05:00,,,85,2,3,1,,,,3146,,,,,enabled,,"Découvrez nos ressources dans le domaine du retail et ecommerce, et lisez-en plus concernant les expériences en magasin et en ligne."
4,,3147,,,,,d8a1d623-2ca2-4f49-9000-ca5e3668b0d9,7726,92,7,4233,1,,3,"Finance & Assurance",finance-assurance,,2018-08-30T15:09:13-04:00,2019-01-22T10:46:57-05:00,,,85,4,5,1,,,,3147,,,,,enabled,,"Découvrez nos contenus touchant au domaine bancaire, à l'industrie de l'assurance, aux institutions financières, aux systèmes de paiements et plus encore."
4,,3148,,,,,119bb743-cdaa-438b-ae87-966354dfc657,7730,92,7,4237,1,,3,"Médias & Divertissement",medias-divertissement,,2018-08-30T15:09:18-04:00,2019-02-19T04:29:02-05:00,,,85,6,7,1,,,,3148,,,,,enabled,,"Lisez notre contenu pour les portails d'actualités, la télévision, le cinéma, l'industrie de la musique, les événements et les jeux."
4,,3149,,,,,03a59cdd-b2c7-46aa-9e77-e3e405c82ede,7734,92,7,4241,1,,3,"Voyage & Hébergement",voyage-hebergement,,2018-08-30T15:09:25-04:00,2019-01-22T10:47:08-05:00,,,85,8,9,1,,,,3149,,,,,enabled,,"Découvrez nos ressources pour les hôtels, compagnies aériennes, centres de villégiature et agents immobiliers."
4,,3150,,,,,3c86dfc9-eef8-4695-9e63-71ba056506d6,7738,92,7,4245,1,,3,Santé,sante,,2018-08-30T15:09:34-04:00,2019-01-22T10:47:13-05:00,,,85,10,11,1,,,,3150,,,,,enabled,,"Découvrez notre contenu concernant le domaine de la santé."
4,,3151,,,,,022ddb59-d92c-4b05-803c-3c5e120658a1,7742,92,7,4249,1,,3,"Forme & Fitness",fitness,,2018-08-30T15:09:53-04:00,2019-01-22T10:47:18-05:00,,,85,12,13,1,,,,3151,,,,,enabled,,"Lisez nos ressources spécialement créées pour le domaine du fitness."
4,,3152,,,,,a58bc9e6-9ad9-426e-9939-9eaf80014390,7746,92,7,4253,1,,3,"Objets connectés",objets-connectes,,2018-08-30T15:10:10-04:00,2019-02-19T04:31:50-05:00,,,85,14,15,1,,,,3152,,,,,enabled,,"Découvrez notre contenu sur le testing destiné aux assistants vocaux, à la technologie portable et à tout ce qui concerne l'IoT."
4,,3153,,,,,1e0e0257-7b62-49b5-9906-14bf405a29da,7750,92,7,4257,1,,3,Automobile,automobile,,2018-08-30T15:10:33-04:00,2019-02-19T04:31:13-05:00,,,85,16,17,1,,,,3153,,,,,enabled,,"Découvrez notre contenu sur le testing pour l'industrie automobile."
4,,3154,,,,,60932818-b240-4d6d-96e7-d9ecf271dbad,7754,92,7,4261,1,,3,"Logiciels d'entreprise",logiciels-entreprise,,2018-08-30T15:10:45-04:00,2019-02-19T04:30:04-05:00,,,85,18,19,1,,,,3154,,,,,enabled,,"Découvrez nos publications sur le testing pour les logiciels d'entreprise et de productivité."
4,,387484,,,,,4ab3af7e-6c56-4f7a-876d-d6c1e7df3c38,625829,92,7,156885,1,,3,"Food Delivery Service",food-delivery-service,,2021-02-18T03:16:11-05:00,2021-02-18T03:16:11-05:00,,,85,22,23,1,,,,387484,,,,,enabled,,"Food Delivery Service"
4,,686383,,,,,670714c1-cd5f-4e40-8544-d223fc4e46c4,1007731,92,7,325361,1,,3,"Online Gambling",online-gambling,,2021-09-20T16:27:40-04:00,2021-09-20T16:27:40-04:00,,,85,24,25,1,,,,686383,,,,,enabled,,"Provide a winning mobile sportsbook and online casino experience for bettors by testing geo-fencing, payments and customer journeys."
